Obra;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria;Nº NF;Data NF; ValorUnitRealizado ; Qtd Realizada ; ValorTotalRealizado ;Cód. Fornecedor;Fornecedor;Tipo;Cód. Pedido;Cód. Contrato
OBR;01120102811OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 46,51 ; 436,84 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102811OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 58,14 ; 360,90 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102812OBR;4906;Cabo flexivel PVC 750V verde 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 113,50 ; 423,53 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102813OBR;4924;Cabo flexivel PVC 750V vermelho 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 115,51 ; 181,32 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102814OBR;4926;Cabo flexivel PVC 750V vermelho 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 112,32 ; 419,12 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102815OBR;4895;Cabo flexivel PVC 750V verde 1,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 0,98 ; 45,73 ; 44,71 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102901OBR;4886;Cabo flexivel PVC 750V preto 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 62,99 ; 80,84 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102901OBR;4886;Cabo flexivel PVC 750V preto 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 11,76 ; 15,10 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102901OBR;4886;Cabo flexivel PVC 750V preto 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 683,33 ; 1.072,66 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102902OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 38,15 ; 48,96 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102902OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 17,07 ; 26,79 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102902OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 11,95 ; 18,75 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102903OBR;4901;Cabo flexivel PVC 750V verde 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 11,18 ; 14,35 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102903OBR;4901;Cabo flexivel PVC 750V verde 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 275,02 ; 431,72 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102904OBR;4848;Cabo flexivel PVC 750V azul 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 33,54 ; 43,05 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102904OBR;4848;Cabo flexivel PVC 750V azul 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 10,30 ; 13,22 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102904OBR;4848;Cabo flexivel PVC 750V azul 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 619,14 ; 971,89 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102905OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 34,24 ; 70,78 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102905OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 28,32 ; 58,54 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102905OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 50,54 ; 124,22 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102906OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 22,71 ; 46,94 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102906OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 25,01 ; 32,10 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102906OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 11,57 ; 23,92 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102906OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 32,14 ; 79,00 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102907OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 4,89 ; 6,30 ; 30,81 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102907OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 10,44 ; 21,58 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102907OBR;4904;Cabo flexivel PVC 750V verde 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 31,48 ; 77,37 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 8,81 ; 32,86 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 4,40 ; 41,35 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 4,40 ; 27,33 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 4,40 ; 41,35 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 4,40 ; 27,33 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 4,40 ; 41,35 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 4,40 ; 27,33 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 4,40 ; 27,33 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 9,39 ; 3,52 ; 33,08 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102908OBR;4892;Cabo flexivel PVC 750V preto 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 6,21 ; 4,40 ; 27,33 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102909OBR;4906;Cabo flexivel PVC 750V verde 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 9,25 ; 34,51 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102910OBR;4838;Cabo flexivel PVC 750V amarelo 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 109,00 ; 139,90 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102910OBR;4838;Cabo flexivel PVC 750V amarelo 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 118,00 ; 151,45 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102911OBR;4924;Cabo flexivel PVC 750V vermelho 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 29,60 ; 46,46 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120102912OBR;4868;Cabo flexivel PVC 750V branco 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 29,73 ; 61,46 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120102913OBR;4926;Cabo flexivel PVC 750V vermelho 6,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 3,73 ; 8,51 ; 31,74 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103001OBR;4886;Cabo flexivel PVC 750V preto 2,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 2,11 ; 1.971,12 ; 4.158,20 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103001OBR;4886;Cabo flexivel PVC 750V preto 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 1.193,51 ; 1.873,52 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103002OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 1,28 ; 22,30 ; 28,62 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103002OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 9,98 ; 15,66 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103002OBR;4921;Cabo flexivel PVC 750V vermelho 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 6,98 ; 10,96 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103003OBR;4865;Cabo flexivel PVC 750V branco 2,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 2,11 ; 98,32 ; 207,41 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103004OBR;4901;Cabo flexivel PVC 750V verde 2,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 2,11 ; 1.769,22 ; 3.732,27 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103004OBR;4901;Cabo flexivel PVC 750V verde 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 640,87 ; 1.006,01 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103005OBR;4848;Cabo flexivel PVC 750V azul 2,5 mm²;M;Elétrica - Fios e Cabos;2876OBR.N;21/11/2024; 2,11 ; 2.795,30 ; 5.896,86 ;Código 42;Fornecedor 42;Geral;250OBR.P;-
OBR;01120103005OBR;4848;Cabo flexivel PVC 750V azul 2,5 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 1,57 ; 1.160,46 ; 1.821,63 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103006OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 270,83 ; 559,91 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103006OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 224,00 ; 463,09 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
OBR;01120103006OBR;4889;Cabo flexivel PVC 750V preto 4,0 mm²;M;Elétrica - Fios e Cabos;2567OBR.N;20/09/2024; 2,46 ; 399,80 ; 982,61 ;Código 42;Fornecedor 42;Geral;202OBR.P;-
OBR;01120103007OBR;4851;Cabo flexivel PVC 750V azul 4,0 mm²;M;Elétrica - Fios e Cabos;3509OBR.N;11/03/2025; 2,07 ; 244,52 ; 505,51 ;Código 42;Fornecedor 42;Geral;364OBR.P;-
