Obra;Grupo Orçamentário;Cód. Estruturado;Cód. Item;Descrição Item;Unid.;Categoria; Qtde. Insumo ; Custo Insumo ; Total Orçado ;Tipo
OBR;Mao de obra para pintura - 1ª e 2ª demao;01180300405OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 8,08 ; 4,47 ; 36,12 ;Geral
OBR;Mao de obra para pintura - 1ª e 2ª demao;01180300405OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 8,08 ; 4,47 ; 36,12 ;Geral
OBR;Mao de obra para pintura efeito cimento queimado com massa corrida acrilica externa inclusa;01180300501OBR;1303;Emassamento 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 72,41 ; 4,47 ; 323,94 ;Geral
OBR;Mao de obra para pintura efeito cimento queimado com massa corrida acrilica externa inclusa;01180300501OBR;1319;Lixamento;M2;Mão de obra de Pintura e Outros Acabamentos; 72,41 ; 4,47 ; 323,94 ;Geral
OBR;Mao de obra para pintura efeito cimento queimado com massa corrida acrilica externa inclusa;01180300501OBR;1442;Execucao de pintura com efeito Cimento Queimado (KCQ);M2;Mão de obra de Pintura e Outros Acabamentos; 72,41 ; 31,05 ; 2.248,41 ;Geral
OBR;Mao de obra para pintura efeito cimento queimado com massa corrida acrilica externa inclusa;01180300501OBR;1301;Emassamento 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 72,41 ; 4,47 ; 323,94 ;Geral
OBR;Mao de obra para pintura - selador e textura projetada;01180300502OBR;1466;Pintura com textura projetada;M2;Mão de obra de Pintura e Outros Acabamentos; 1.190,51 ; 18,40 ; 21.905,29 ;Geral
OBR;Mao de obra para pintura - selador e textura projetada;01180300502OBR;1464;Pintura com selador;M2;Mão de obra de Pintura e Outros Acabamentos; 1.190,51 ; 2,88 ; 3.422,70 ;Geral
OBR;Mao de obra para pintura - selador e textura projetada linear;01180300503OBR;1465;Pintura com selador Linear;M;Mão de obra de Pintura e Outros Acabamentos; 190,30 ; 3,11 ; 590,88 ;Geral
OBR;Mao de obra para pintura - selador e textura projetada linear;01180300503OBR;1467;Pintura com textura projetada Linear;M;Mão de obra de Pintura e Outros Acabamentos; 190,30 ; 18,63 ; 3.545,27 ;Geral
OBR;Mao de obra para pintura - 1ª e 2ª demao;01180300505OBR;1461;Pintura 2ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 8,08 ; 4,47 ; 36,12 ;Geral
OBR;Mao de obra para pintura - 1ª e 2ª demao;01180300505OBR;1459;Pintura 1ª demao;M2;Mão de obra de Pintura e Outros Acabamentos; 8,08 ; 4,47 ; 36,12 ;Geral
OBR;Azulejo ceramico - Thimos Caramelo - somente material;01180300602OBR;8036;Bloco de espuma;UN;Materiais de Higiene e Limpeza; 4,57 ; 2,78 ; 12,70 ;Geral
OBR;Floreira em vaso com mureta - 80 cm . Com regularização. manta asfaltica. bidim. brita. terra e drenos;01180700101OBR;1895;Tela para amarracao aco galvanizado malha 15 x 15 mm - 7,5 x 50 cm;PCT;Aço e Acessórios; 2,50 ; 193,34 ; 482,58 ;Geral
OBR;Floreira em vaso com mureta - 60 cm . Com regularização. manta asfaltica. bidim. brita. terra e drenos;01180700102OBR;1895;Tela para amarracao aco galvanizado malha 15 x 15 mm - 7,5 x 50 cm;PCT;Aço e Acessórios; 0,30 ; 193,34 ; 57,91 ;Geral
OBR;Plantio de mudas - especie: Heliconia;01180700201OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 110,00 ; 44,08 ; 4.849,16 ;Geral
OBR;Plantio de mudas - especie: Iris da praia;01180700202OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 74,00 ; 44,08 ; 3.262,16 ;Geral
OBR;Plantio de mudas - especie: Samambaia Paulista;01180700203OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 98,00 ; 44,08 ; 4.320,16 ;Geral
OBR;Plantio de mudas - especie: Guaimbe;01180700204OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 32,00 ; 44,08 ; 1.410,67 ;Geral
OBR;Plantio de mudas - especie: Cipo de Sao Joao;01180700205OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 103,00 ; 44,08 ; 4.540,58 ;Geral
OBR;Plantio de mudas - especie: Lirio do vento;01180700206OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 105,00 ; 44,08 ; 4.628,75 ;Geral
OBR;Plantio de mudas - especie: Taioba;01180700207OBR;1474;Plantio de mudas arvores;UN;Serviços de Paisagismo; 13,00 ; 44,08 ; 573,08 ;Geral
OBR;Pacote de material e mao de obra - estrutura de madeira para telha - pinus tratado em autoclave;01190200101OBR;3028;Materiais para montagem de estrutura de cobertura - em madeira pinus;M2;Madeira; 167,90 ; 40,39 ; 6.781,09 ;Geral
OBR;Gesso liso - area - somente material;01200100101OBR;641;Gesso lento saco 40 kg;SC;Gesso; 33,89 ; 41,17 ; 1.395,54 ;Geral
OBR;Gesso liso - linear - somente material;01200100102OBR;641;Gesso lento saco 40 kg;SC;Gesso; 4,03 ; 41,17 ; 166,01 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200102OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 1.036,33 ; 2,24 ; 2.323,97 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200103OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 1.036,33 ; 2,24 ; 2.323,97 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200202OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 631,66 ; 2,24 ; 1.416,50 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200203OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 631,66 ; 2,24 ; 1.416,50 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200302OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200303OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200402OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200403OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200502OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,26 ; 2,24 ; 1.420,09 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200503OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,26 ; 2,24 ; 1.420,09 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200602OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200603OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200702OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200703OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 633,27 ; 2,24 ; 1.420,11 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200802OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 676,60 ; 2,24 ; 1.517,28 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200803OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 676,60 ; 2,24 ; 1.517,28 ;Geral
OBR;Mao de obra para pintura - 1ª demao - linear;01200200902OBR;1460;Pintura 1ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 134,08 ; 2,24 ; 300,67 ;Geral
OBR;Mao de obra para pintura - 2ª demao - linear;01200200903OBR;1462;Pintura 2ª demao Linear;M;Mão de obra de Pintura e Outros Acabamentos; 134,08 ; 2,24 ; 300,67 ;Geral
OBR;Bacia sanitaria comando duplo - Padrao I;01210100101OBR;3670;Bacia sanitaria em louca com caixa acoplada comando duplo;UN;Louças, Metais e Acessórios; 114,00 ; 417,60 ; 47.606,91 ;Geral
OBR;Lavatorio de embutir com torneira de mesa - arejador simples;01210100201OBR;3775;"Valvula para lavatorio cromada 1""";UN;Louças, Metais e Acessórios; 7,00 ; 6,86 ; 47,99 ;Geral
OBR;Lavatorio de embutir com torneira de mesa - arejador simples;01210100201OBR;3735;"Torneira lavatorio comando mesa arejador simples - cromado 1/2""";UN;Louças, Metais e Acessórios; 7,00 ; 265,55 ; 1.858,83 ;Geral
OBR;Lavatorio de embutir com torneira de mesa - arejador simples;01210100201OBR;3676;Cuba de embutir universal oval para banheiro;UN;Louças, Metais e Acessórios; 7,00 ; 107,23 ; 750,63 ;Geral
OBR;Lavatorio de embutir com misturador monocomando - agua fria e quente;01210100202OBR;3775;"Valvula para lavatorio cromada 1""";UN;Louças, Metais e Acessórios; 96,00 ; 6,86 ; 658,09 ;Geral
OBR;Lavatorio de embutir com misturador monocomando - agua fria e quente;01210100202OBR;3733;"Misturador lavatorio monocomando arejador comando mesa - cromado 1/2""";UN;Louças, Metais e Acessórios; 96,00 ; 468,60 ; 44.985,79 ;Geral
OBR;Lavatorio de embutir com misturador monocomando - agua fria e quente;01210100202OBR;3676;Cuba de embutir universal oval para banheiro;UN;Louças, Metais e Acessórios; 96,00 ; 107,23 ; 10.294,40 ;Geral
OBR;Tanque com torneira de jardim - 21L;01210100301OBR;3741;"Torneira jardim metalica cromada longa com canopla 1/2""";UN;Louças, Metais e Acessórios; 15,00 ; 50,28 ; 754,15 ;Geral
OBR;Tanque com torneira de jardim - 21L;01210100301OBR;3693;Tanque de PVC com materiais para fixacao 21 L;UN;Louças, Metais e Acessórios; 15,00 ; 63,37 ; 950,48 ;Geral
OBR;Kit loucas e metais banheiro PNE - materiais;01210100401OBR;3775;"Valvula para lavatorio cromada 1""";UN;Louças, Metais e Acessórios; 1,00 ; 6,86 ; 6,86 ;Geral
OBR;Kit loucas e metais banheiro PNE - materiais;01210100401OBR;3653;"Valvula descarga duplo acionamento 1.1/2""";UN;Louças, Metais e Acessórios; 1,00 ; 220,20 ; 220,20 ;Geral
OBR;Kit loucas e metais banheiro PNE - materiais;01210100401OBR;3664;Bacia sanitaria sem caixa acoplada - PNE;UN;Louças, Metais e Acessórios; 1,00 ; 522,17 ; 522,17 ;Geral
OBR;Kit loucas e metais banheiro PNE - materiais;01210100401OBR;3753;"Acabamento para valvula de descarga 1.1/2""";UN;Louças, Metais e Acessórios; 1,00 ; 74,88 ; 74,88 ;Geral
